"","x","z1","z2"
"144",4.501,3.97,4.6
"145",4.143,3.8,3.71
"146",5.364,5.94,5.33
"147",5.031,4.08,5.88
"148",6.859,8.38,6.77
"149",6.369,11.2,0.9
"150",3.81,4.43,1.73
"151",7.367,8.58,7.86
"152",7.038,8.54,7.09
"153",6.351,7.66,5.87
"154",5.432,4.98,6.43
"155",6.244,6.76,6.83
"156",3.974,6.44,-0.32
"157",6.969,8.13,7.22
"158",5.203,6.26,4.03
"159",6.616,8.95,5.46
"160",5.313,6.25,4.41
"161",7.193,9.11,6.74
"162",4.781,4.9,4.3
"163",5.135,4.48,6.04
"164",8.073,13.48,4.22
"165",4.829,6.17,2.81
"166",6.814,7.6,7.42
"167",6.816,8.27,6.48
"168",6.436,6.03,8.45
"169",6.235,8.03,5.13
"170",6.845,7.74,7.25
"171",6.73,6.57,8.95
"172",5.662,7.13,4.44
"173",5,6.93,2.35
"174",7.279,11.26,4.52
"175",5.093,5.52,4.57
"176",5.108,4.81,5.3
"177",6.858,7.08,8.42
"178",5.839,7.62,4.35
"179",6.397,7.87,5.75
"180",5.28,6.08,4.54
"181",5.001,4.87,5.04
"182",7.046,9.53,5.63
"183",6.318,6.3,7.66
"184",5.121,5.27,5.24
"185",5.975,6.53,6.43
"186",6.082,6.61,6.56
"187",7.277,9.22,6.83
"188",5.425,7.17,3.85
"189",7.285,8.51,8.25
"190",5.139,6,4.24
"191",5.929,7.43,4.79
"192",6.337,6.35,7.81
"193",6.697,7.19,7.59
"194",4.447,5.21,2.82
"195",4.218,4.38,3.25
"196",6.621,10.99,2.28
"197",6.407,8.2,5.36
"198",4.877,4.5,5.33
"199",5.543,5.78,5.73
"200",5.214,4.63,6.1
"201",7.218,11.4,3.8
"202",6.218,9.62,3.01
"203",6.246,6.47,7.05
"204",6.744,8.09,6.5
"205",4.576,6.17,1.98
"206",5.37,6.05,4.81
"207",4.627,5.42,3.21
"208",4.19,5.81,0.86
"209",7.224,10.3,5.3
"210",5.7,6.89,4.84
"211",5.714,7.24,4.81
"212",6.047,7.49,5.43
"213",7.308,9.46,6.76
"214",5.521,5.97,5.41
"215",4.649,5.01,3.77
"216",6.74,10.35,3.53
"217",5.36,6.12,4.74
"218",5.467,5.55,5.62
"219",4.142,4.53,2.92
"220",4.601,4.43,4.63
"221",5.858,5.85,6.93
"222",6.267,8.24,4.78
"223",6.264,9.22,3.6
"224",6.242,8.42,4.45
"225",6.164,6.27,7.23
"226",6.148,7.12,6.1
"227",5.959,5.59,7.47
"228",5.219,5.57,5.28
"229",6.696,8.77,5.82
"230",4.58,4.97,3.88
"231",7.78,10.91,6.21
"232",5.395,6.82,3.99
"233",5.159,7.43,2.16
"234",5.362,5.52,5.26
"235",6.497,5.85,8.89
"236",5.242,4.37,6.6
"237",6.263,6.63,7.33
"238",6.311,7.84,5.72
"239",5.697,7.65,3.78
"240",5.071,5.44,4.6
"241",4.965,5.42,4.45
"242",5.252,6,4.06
"243",7.396,9.99,6.41
"244",4.178,4.73,2.61
"245",6.207,6.64,6.73
"246",7.838,10.8,6.73
"247",4.968,6.8,2.6
"248",5.148,4.28,6.28
"249",6.807,5.67,9.86
"250",5.854,7.97,3.89
"251",6.035,6.25,6.69
"252",4.879,5.88,3.44
"253",6.241,6.31,7.22
"254",5.964,7.18,5.5
"255",8.186,10.2,8.3
"256",4.822,6.82,2.08
"257",6.561,9.16,4.9
"258",5.971,8.26,3.95
"259",5.598,6.77,4.61
"260",4.275,3.93,3.74
"261",4.929,5.96,3.33
"262",5.763,6.02,6.16
"263",5.113,7.09,2.82
"264",7.688,9.6,7.97
"265",6.917,11.59,2.63
"266",7.228,10.1,5.2
"267",5.92,6.73,6.07
"268",4.804,3.49,6.17
"269",5.282,6.22,4.4
"270",6.003,7.18,5.16
"271",6.995,8.69,6.92
"272",5.706,8.93,2.09
"273",5.825,8.37,3.44
"274",4.921,4.21,5.64
"275",6.287,8.7,4.11
"276",6.364,6.11,7.74
"277",6.385,7.35,6.35
"278",5.994,7.15,5.14
"279",5.3,7.86,1.98
"280",5.828,7.05,5.05
"281",4.303,3.67,4.37
"282",6.279,8.47,4.8
"283",5.391,7.77,2.64
"284",5.949,6.47,6
"285",5.299,7.24,2.92
"286",5.796,7.27,4.55
"287",6.152,7.44,5.76
"288",6.611,10.28,3.43
"289",5.937,6.56,6.17
"290",5.167,7.34,2.37
"291",5,9.34,-0.62
"292",6.951,9.11,5.93
"293",7.164,9.29,6.68
"294",5.26,5.85,4.43
"295",7.726,11,6.01
"296",5.124,7.13,2.69
"297",7.229,10.73,4.75
"298",3.538,4.3,1.12
"299",6.543,7.04,7.36
"300",7.928,9.5,8.72
